member_id,month,center,plan,price_paid,discount_applied,signup_date,acquisition_channel,age,gender,tenure_months,visits_this_month,group_classes_attended,uses_app,has_personal_trainer,support_contacts,incidents_reported,satisfaction_survey,status,churn_reason,competitor_lowcost_price,campaign_active,service_incident
1,2023-01,northside,family,55.2,0.2,2023-01-09,january_campaign,33,M,1,10,2,False,True,0,0,,active,,20,january_promo,
1,2023-02,northside,family,55.2,0.2,2023-01-09,january_campaign,33,M,2,7,2,False,True,0,0,,active,,20,,
1,2023-03,northside,family,55.2,0.2,2023-01-09,january_campaign,33,M,3,9,4,False,True,0,0,6.0,active,,20,,heating_failure
1,2023-04,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,4,8,3,False,True,0,0,,active,,20,,
1,2023-05,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,5,8,2,False,True,0,0,8.0,active,,20,,
1,2023-06,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,6,8,3,False,True,0,0,,active,,20,summer_body,
1,2023-07,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,7,11,5,False,True,0,0,,active,,19,,
1,2023-08,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,8,7,3,False,True,0,0,,active,,19,,pool_maintenance
1,2023-09,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,9,8,2,False,True,1,1,,active,,19,back_to_gym,
1,2023-10,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,10,8,3,False,True,0,0,,active,,19,,
1,2023-11,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,11,11,3,False,True,0,0,,active,,19,,
1,2023-12,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,12,9,2,False,True,0,0,10.0,active,,19,,
1,2024-01,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,13,6,1,False,True,0,0,8.0,active,,19,january_promo,
1,2024-02,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,14,10,4,False,True,0,0,7.0,active,,19,,app_outage
1,2024-03,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,15,11,4,False,True,0,0,,active,,19,,
1,2024-04,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,16,7,2,False,True,0,0,,active,,19,,
1,2024-05,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,17,11,5,False,True,0,0,10.0,active,,19,,
1,2024-06,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,18,8,2,False,True,0,0,,active,,19,summer_body,
1,2024-07,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,19,8,2,False,True,0,0,10.0,active,,19,,
1,2024-08,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,20,12,3,False,True,0,0,,active,,19,,
1,2024-09,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,21,7,2,False,True,0,0,,active,,19,back_to_gym,
1,2024-10,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,22,8,3,False,True,0,0,,active,,19,,
1,2024-11,northside,family,69.0,0.0,2023-01-09,january_campaign,33,M,23,8,2,False,True,0,0,,active,,19,,
